2KRank,PLAYER_NAME,Rating,season,PLAYER_ID
88,Grant Hill,77,2012,255
54,Jason Kidd,80,2012,467
299,Kurt Thomas,64,2012,703
28,Kevin Garnett,84,2012,708
29,Kevin Garnett,84,2013,708
112,Kevin Garnett,77,2014,708
112,Kevin Garnett,77,2015,708
203,Kevin Garnett,74,2016,708
251,Jerry Stackhouse,67,2012,711
309,Glen Rice,66,2013,779
328,Glen Rice,69,2014,779
328,Glen Rice,69,2015,779
156,Marcus Camby,73,2012,948
196,Marcus Camby,71,2013,948
65,Ray Allen,79,2012,951
73,Ray Allen,79,2013,951
13,Steve Nash,87,2012,959
65,Steve Nash,80,2013,959
137,Steve Nash,76,2014,959
137,Steve Nash,76,2015,959
235,Derek Fisher,69,2013,965
5,Kobe Bryant,93,2012,977
4,Kobe Bryant,93,2013,977
5,Kobe Bryant,89,2014,977
5,Kobe Bryant,89,2015,977
198,Jermaine O'Neal,70,2012,979
173,Jermaine O'Neal,72,2013,979
13,Tim Duncan,87,2012,1495
17,Tim Duncan,87,2013,1495
4,Tim Duncan,90,2014,1495
4,Tim Duncan,90,2015,1495
40,Chauncey Billups,82,2012,1497
56,Chauncey Billups,81,2013,1497
79,Stephen Jackson,78,2012,1536
73,Stephen Jackson,79,2013,1536
88,Antawn Jamison,77,2012,1712
106,Antawn Jamison,76,2013,1712
65,Vince Carter,79,2012,1713
65,Vince Carter,80,2013,1713
112,Vince Carter,77,2014,1713
112,Vince Carter,77,2015,1713
203,Vince Carter,74,2016,1713
206,Vince Carter,74,2017,1713
261,Vince Carter,74,2018,1713
25,Dirk Nowitzki,85,2012,1717
29,Dirk Nowitzki,84,2013,1717
10,Dirk Nowitzki,88,2014,1717
10,Dirk Nowitzki,88,2015,1717
37,Dirk Nowitzki,84,2016,1717
61,Dirk Nowitzki,80,2017,1717
108,Dirk Nowitzki,78,2018,1717
40,Paul Pierce,82,2012,1718
47,Paul Pierce,82,2013,1718
53,Paul Pierce,81,2014,1718
53,Paul Pierce,81,2015,1718
250,Paul Pierce,73,2016,1718
179,Al Harrington,71,2012,1733
173,Al Harrington,72,2013,1733
328,Nazr Mohammed,61,2012,1737
346,Nazr Mohammed,64,2013,1737
217,Rashard Lewis,69,2012,1740
288,Rashard Lewis,67,2013,1740
88,Elton Brand,77,2012,1882
88,Elton Brand,78,2013,1882
139,Baron Davis,74,2012,1884
179,Lamar Odom,71,2012,1885
173,Lamar Odom,72,2013,1885
156,Richard Hamilton,73,2012,1888
145,Richard Hamilton,74,2013,1888
114,Andre Miller,75,2012,1889
106,Andre Miller,76,2013,1889
137,Andre Miller,76,2014,1889
137,Andre Miller,76,2015,1889
65,Shawn Marion,79,2012,1890
73,Shawn Marion,79,2013,1890
112,Shawn Marion,77,2014,1890
112,Shawn Marion,77,2015,1890
88,Jason Terry,77,2012,1891
96,Jason Terry,77,2013,1891
193,Jason Terry,74,2014,1891
193,Jason Terry,74,2015,1891
321,Jason Terry,71,2016,1891
408,Jason Terry,69,2017,1891
139,Corey Maggette,74,2012,1894
145,Corey Maggette,74,2013,1894
179,Metta World Peace,71,2012,1897
145,Metta World Peace,74,2013,1897
139,Andrei Kirilenko,74,2012,1905
96,Andrei Kirilenko,77,2013,1905
193,Andrei Kirilenko,74,2014,1905
193,Andrei Kirilenko,74,2015,1905
13,Manu Ginobili,87,2012,1938
19,Manu Ginobili,86,2013,1938
38,Manu Ginobili,83,2014,1938
38,Manu Ginobili,83,2015,1938
65,Manu Ginobili,79,2016,1938
143,Manu Ginobili,76,2017,1938
129,Manu Ginobili,77,2018,1938
179,Raja Bell,71,2012,1952
104,Kenyon Martin,76,2012,2030
161,Kenyon Martin,73,2013,2030
567,Kenyon Martin,67,2020,2030
217,Mike Miller,69,2012,2034
196,Mike Miller,71,2013,2034
193,Mike Miller,74,2014,2034
193,Mike Miller,74,2015,2034
344,Mike Miller,70,2016,2034
79,Jamal Crawford,78,2012,2037
73,Jamal Crawford,79,2013,2037
60,Jamal Crawford,80,2014,2037
60,Jamal Crawford,80,2015,2037
105,Jamal Crawford,77,2016,2037
116,Jamal Crawford,77,2017,2037
129,Jamal Crawford,77,2018,2037
224,Jamal Crawford,75,2020,2037
328,Joel Przybilla,61,2012,2038
233,Keyon Dooling,68,2012,2039
156,Hedo Turkoglu,73,2012,2045
173,Hedo Turkoglu,72,2013,2045
217,Quentin Richardson,69,2012,2047
196,Quentin Richardson,71,2013,2047
198,DeShawn Stevenson,70,2012,2052
336,Kwame Brown,60,2012,2198
419,Kwame Brown,60,2013,2198
88,Tyson Chandler,77,2012,2199
96,Tyson Chandler,77,2013,2199
73,Tyson Chandler,79,2014,2199
73,Tyson Chandler,79,2015,2199
203,Tyson Chandler,74,2016,2199
143,Tyson Chandler,76,2017,2199
221,Tyson Chandler,75,2018,2199
274,Tyson Chandler,73,2019,2199
358,Tyson Chandler,72,2020,2199
13,Pau Gasol,87,2012,2200
56,Pau Gasol,81,2013,2200
44,Pau Gasol,82,2014,2200
44,Pau Gasol,82,2015,2200
37,Pau Gasol,84,2016,2200
51,Pau Gasol,81,2017,2200
75,Pau Gasol,79,2018,2200
204,Pau Gasol,75,2019,2200
224,Pau Gasol,75,2020,2200
139,Jason Richardson,74,2012,2202
161,Jason Richardson,73,2013,2202
235,Jason Richardson,73,2014,2202
235,Jason Richardson,73,2015,2202
114,Shane Battier,75,2012,2203
161,Shane Battier,73,2013,2203
460,DeSagana Diop,54,2013,2205
25,Joe Johnson,85,2012,2207
37,Joe Johnson,83,2013,2207
44,Joe Johnson,82,2014,2207
44,Joe Johnson,82,2015,2207
105,Joe Johnson,77,2016,2207
143,Joe Johnson,76,2017,2207
377,Vladimir Radmanovic,51,2012,2209
139,Richard Jefferson,74,2012,2210
196,Richard Jefferson,71,2013,2210
254,Richard Jefferson,72,2014,2210
254,Richard Jefferson,72,2015,2210
203,Richard Jefferson,74,2016,2210
206,Richard Jefferson,74,2017,2210
380,Jason Collins,49,2012,2215
468,Jason Collins,50,2013,2215
28,Zach Randolph,84,2012,2216
37,Zach Randolph,83,2013,2216
31,Zach Randolph,84,2014,2216
31,Zach Randolph,84,2015,2216
57,Zach Randolph,80,2016,2216
61,Zach Randolph,80,2017,2216
108,Zach Randolph,78,2018,2216
251,Brendan Haywood,67,2012,2217
346,Brendan Haywood,64,2013,2217
437,Brendan Haywood,65,2014,2217
437,Brendan Haywood,65,2015,2217
49,Gerald Wallace,81,2012,2222
145,Gerald Wallace,74,2013,2222
193,Gerald Wallace,74,2014,2222
193,Gerald Wallace,74,2015,2222
139,Samuel Dalembert,74,2012,2223
145,Samuel Dalembert,74,2013,2223
137,Samuel Dalembert,76,2014,2223
137,Samuel Dalembert,76,2015,2223
233,Jamaal Tinsley,68,2012,2224
235,Jamaal Tinsley,69,2013,2224
20,Tony Parker,86,2012,2225
17,Tony Parker,87,2013,2225
10,Tony Parker,88,2014,2225
10,Tony Parker,88,2015,2225
57,Tony Parker,80,2016,2225
116,Tony Parker,77,2017,2225
167,Tony Parker,76,2018,2225
88,Gilbert Arenas,77,2012,2240
269,Earl Watson,66,2012,2248
288,Earl Watson,67,2013,2248
309,Chris Andersen,66,2013,2365
165,Chris Andersen,75,2014,2365
165,Chris Andersen,75,2015,2365
250,Chris Andersen,73,2016,2365
282,Mike Dunleavy,65,2012,2399
265,Mike Dunleavy,68,2013,2399
