Season,Player,PLAYER_ID,Jersey
2011,Derrick Rose,201565,1
2011,Jeremy Lin,202391,1
2011,Kobe Bryant,977,1
2011,LeBron James,2544,1
2011,Carmelo Anthony,2546,1
2011,Dwyane Wade,2548,1
2011,Dirk Nowitzki,1717,1
2011,Kevin Durant,201142,1
2011,Blake Griffin,201933,1
2011,Rajon Rondo,200765,1
2011,Amar'e Stoudemire,2405,1
2011,Ray Allen,951,1
2011,Paul Pierce,1718,1
2011,Dwight Howard,2730,1
2011,Chris Paul,101108,1
2012,LeBron James,2544,1
2012,Derrick Rose,201565,1
2012,Kobe Bryant,977,1
2012,Kevin Durant,201142,1
2012,Dwyane Wade,2548,1
2012,Carmelo Anthony,2546,1
2012,Dwight Howard,2730,1
2012,Deron Williams,101114,1
2012,Blake Griffin,201933,1
2012,Rajon Rondo,200765,1
2012,Steve Nash,959,1
2012,Chris Paul,101108,1
2012,Russell Westbrook,201566,1
2012,Kevin Garnett,708,1
2012,Joe Johnson,2207,1
2013,LeBron James,2544,1
2013,James Harden,201935,1
2013,Blake Griffin,201933,1
2013,Russell Westbrook,201566,1
2013,Rajon Rondo,200765,1
2013,Tim Duncan,1495,1
2013,Paul George,202331,1
2013,Kevin Durant,201142,1
2013,Kobe Bryant,977,1
2013,Derrick Rose,201565,1
2013,Stephen Curry,201939,1
2013,Carmelo Anthony,2546,1
2013,Dwyane Wade,2548,1
2013,Chris Paul,101108,1
2013,Kyrie Irving,202681,1
2014,LeBron James,2544,1
2014,Stephen Curry,201939,1
2014,Kobe Bryant,977,1
2014,Kevin Durant,201142,1
2014,Derrick Rose,201565,1
2014,Kyrie Irving,202681,1
2014,Tim Duncan,1495,1
2014,Carmelo Anthony,2546,1
2014,Dwyane Wade,2548,1
2014,Blake Griffin,201933,1
2014,Damian Lillard,203081,1
2014,Russell Westbrook,201566,1
2014,John Wall,202322,1
2014,Dirk Nowitzki,1717,1
2014,Chris Paul,101108,1
2015,Stephen Curry,201939,1
2015,LeBron James,2544,1
2015,Kobe Bryant,977,1
2015,Kyrie Irving,202681,1
2015,Klay Thompson,202691,1
2015,Russell Westbrook,201566,1
2015,Draymond Green,203110,1
2015,Kevin Durant,201142,1
2015,Kawhi Leonard,202695,1
2015,Derrick Rose,201565,1
2015,Tim Duncan,1495,1
2015,Dwyane Wade,2548,1
2015,Damian Lillard,203081,1
2015,Andre Iguodala,2738,1
2015,Kristaps Porzingis,204001,1
2016,Stephen Curry,201939,1
2016,LeBron James,2544,1
2016,Kevin Durant,201142,1
2016,Russell Westbrook,201566,1
2016,Kyrie Irving,202681,1
2016,Kawhi Leonard,202695,1
2016,Kristaps Porzingis,204001,1
2016,Jimmy Butler,202710,1
2016,Giannis Antetokounmpo,203507,1
2016,James Harden,201935,1
2016,Dwyane Wade,2548,1
2016,Derrick Rose,201565,1
2016,Klay Thompson,202691,1
2016,Isaiah Thomas,202738,1
2016,Damian Lillard,203081,1
2017,Stephen Curry,201939,1
2017,LeBron James,2544,1
2017,Kevin Durant,201142,1
2017,Giannis Antetokounmpo,203507,1
2017,Kyrie Irving,202681,1
2017,Russell Westbrook,201566,1
2017,Kristaps Porzingis,204001,1
2017,Joel Embiid,203954,1
2017,James Harden,201935,1
2017,Ben Simmons,1627732,1
2017,Kawhi Leonard,202695,1
2017,Lonzo Ball,1628366,1
2017,Damian Lillard,203081,1
2017,Klay Thompson,202691,1
2017,Jimmy Butler,202710,1
2018,LeBron James,2544,1
2018,Stephen Curry,201939,1
2018,Giannis Antetokounmpo,203507,1
2018,Kyrie Irving,202681,1
2018,Joel Embiid,203954,1
2018,James Harden,201935,1
2018,Russell Westbrook,201566,1
2018,Kevin Durant,201142,1
2018,Ben Simmons,1627732,1
2018,Jimmy Butler,202710,1
2018,Dwyane Wade,2548,1
2018,Paul George,202331,1
2018,Luka Doncic,1629029,1
2018,Damian Lillard,203081,1
2018,Jayson Tatum,1628369,1
2019,LeBron James,2544,1
2019,Luka Doncic,1629029,1
2019,Anthony Davis,203076,1
2019,Jayson Tatum,1628369,1
2019,Giannis Antetokounmpo,203507,1
2019,Stephen Curry,201939,1
2019,Kevin Durant,201142,1
2019,Damian Lillard,203081,1
2019,Kawhi Leonard,202695,1
2019,Jimmy Butler,202710,1
2019,Kemba Walker,202689,1
2019,Kyrie Irving,202681,1
2019,Russell Westbrook,201566,1
2019,Nikola Jokic,203999,1
2019,Ja Morant,1629630,1
