season,PLAYER_ID,Jersey
2012,255,0
2012,467,0
2012,703,0
2012,708,0
2013,708,1
2014,708,0
2015,708,0
2012,711,0
2012,739,0
2012,948,0
2012,951,1
2013,951,0
2012,959,0
2013,959,1
2014,959,0
2012,965,0
2013,965,0
2012,977,1
2013,977,1
2014,977,1
2015,977,1
2012,979,0
2013,979,0
2012,1495,0
2013,1495,0
2014,1495,1
2015,1495,1
2012,1497,0
2013,1497,0
2012,1536,0
2013,1536,0
2012,1712,0
2013,1712,0
2012,1713,0
2013,1713,0
2014,1713,0
2015,1713,0
2016,1713,0
2017,1713,0
2018,1713,0
2019,1713,0
2012,1717,1
2013,1717,0
2014,1717,0
2015,1717,1
2016,1717,0
2017,1717,0
2018,1717,0
2012,1718,1
2013,1718,0
2014,1718,0
2015,1718,0
2016,1718,0
2013,1733,0
2012,1737,0
2013,1737,0
2014,1737,0
2012,1740,0
2013,1740,0
2012,1853,0
2012,1882,0
2013,1882,0
2014,1882,0
2012,1885,0
2012,1888,0
2012,1889,0
2013,1889,0
2014,1889,0
2015,1889,0
2012,1890,0
2013,1890,0
2014,1890,0
2012,1891,0
2013,1891,0
2014,1891,0
2015,1891,0
2016,1891,0
2017,1891,0
2012,1894,0
2013,1894,0
2012,1897,0
2013,1897,0
2015,1897,0
2016,1897,0
2012,1905,0
2013,1905,0
2014,1905,0
2012,1938,0
2013,1938,0
2014,1938,0
2015,1938,0
2016,1938,0
2017,1938,0
2013,2030,0
2014,2030,0
2012,2034,0
2013,2034,0
2014,2034,0
2015,2034,0
2016,2034,0
2012,2037,0
2013,2037,0
2014,2037,0
2015,2037,0
2016,2037,0
2017,2037,0
2018,2037,0
2012,2038,0
2012,2045,0
2013,2045,0
2014,2045,0
2012,2047,0
2012,2052,0
2012,2060,0
2013,2060,0
2012,2109,0
2012,2198,0
2012,2199,0
2013,2199,0
2014,2199,0
2015,2199,0
2016,2199,0
2017,2199,0
2018,2199,0
2019,2199,0
2012,2200,0
2013,2200,0
2014,2200,0
2015,2200,0
2016,2200,0
2017,2200,0
2018,2200,0
2012,2201,0
2012,2202,0
2012,2203,0
2013,2203,0
2012,2205,0
2013,2205,0
2012,2207,0
2013,2207,1
2014,2207,0
2015,2207,0
2016,2207,0
2017,2207,0
2019,2207,0
2012,2209,0
2012,2210,0
2013,2210,0
2014,2210,0
2015,2210,0
2016,2210,0
2017,2210,0
2012,2211,0
2012,2215,0
2012,2216,0
2013,2216,0
2014,2216,0
2015,2216,0
2016,2216,0
2017,2216,0
2012,2217,0
2014,2217,0
2012,2222,0
2013,2222,0
2014,2222,0
2012,2223,0
2013,2223,0
2014,2223,0
2015,2223,0
2012,2224,0
2013,2224,0
2012,2225,0
2013,2225,0
2014,2225,0
2015,2225,0
2016,2225,0
2017,2225,0
2018,2225,0
2012,2229,0
2013,2229,0
2012,2248,0
2013,2248,0
2012,2365,0
2013,2365,0
2014,2365,0
2015,2365,0
2016,2365,0
2012,2399,0
2013,2399,0
2014,2399,0
2016,2399,0
2012,2400,0
2014,2400,0
2015,2400,0
2012,2403,0
2013,2403,0
2014,2403,0
2015,2403,0
2016,2403,0
2017,2403,0
2018,2403,0
2012,2404,0
2012,2405,1
2013,2405,0
2014,2405,0
2015,2405,0
2012,2406,0
2013,2406,0
2014,2406,0
2015,2406,0
2012,2407,0
2013,2408,0
2012,2419,0
2013,2419,0
2014,2419,0
2015,2419,0
2012,2422,0
2013,2422,0
2014,2422,0
2012,2427,0
2013,2427,0
2013,2429,0
2012,2430,0
2013,2430,0
2014,2430,0
2012,2436,0
2012,2440,0
2013,2440,0
2014,2440,0
2015,2440,0
2016,2440,0
2013,2446,0
2014,2446,0
2015,2446,0
2016,2446,0
2012,2449,0
2013,2449,0
2014,2449,0
2015,2449,0
2016,2449,0
2012,2457,0
2013,2457,0
2014,2457,0
2012,2501,0
2013,2501,0
2014,2501,0
2012,2544,1
2013,2544,1
2014,2544,1
2015,2544,1
2016,2544,1
2017,2544,1
2018,2544,1
2019,2544,1
2020,2544,1
2012,2545,0
2012,2546,1
2013,2546,1
2014,2546,1
2015,2546,1
2016,2546,0
2017,2546,0
2018,2546,0
2019,2546,0
2020,2546,0
2012,2547,0
2013,2547,0
2014,2547,0
2015,2547,0
2012,2548,1
2013,2548,1
2014,2548,1
2015,2548,1
2016,2548,1
2017,2548,1
2018,2548,0
2012,2549,0
2013,2549,0
2014,2549,0
2015,2549,0
2012,2550,0
2013,2550,0
2014,2550,0
2015,2550,0
2012,2554,0
2012,2555,0
2013,2555,0
2014,2555,0
2015,2555,0
2016,2555,0
2017,2555,0
2012,2557,0
2013,2557,0
2014,2557,0
2012,2561,0
2013,2561,0
2014,2561,0
2015,2561,0
2016,2561,0
2017,2561,0
2012,2562,0
2012,2563,0
2014,2563,0
2015,2563,0
2016,2563,0
2012,2564,0
2013,2564,0
2014,2564,0
2015,2564,0
2016,2564,0
2012,2566,0
2013,2566,0
2014,2566,0
2012,2567,0
2013,2567,0
2014,2567,0
2012,2568,0
2012,2570,0
2013,2570,0
2014,2570,0
2015,2570,0
2017,2570,0
2012,2571,0
2013,2571,0
2014,2571,0
2015,2571,0
2016,2571,0
2012,2572,0
